title,location,time,price,img_url
An estate man,Gulistan-e-Jauhar,4  Aug,"Rs 70,00,000",https://apollo-singapore.akamaized.net/v1/files/mlpgfqy1oiwc-PK/image;s=261x203;pk_;slot=1;filename=mlpgfqy1oiwc-PK_.jpg
Bank for Sale in Baldia Town,Baldia Town,4  Aug,"Rs 3,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Islamic Bank for Sale in Gulistan-e-Jauhar,Gulistan-e-Jauhar,4  Aug,"Rs 6,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Bank for Sale in Fedral B Area Karimabad,Federal B Area,4  Aug,"Rs 6,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Flats and Commercial area,Malir,4  Aug,"Rs 2,10,00,000",https://apollo-singapore.akamaized.net/v1/files/jirh1l9k2kup2-PK/image;s=261x203;pk_;slot=1;filename=jirh1l9k2kup2-PK_.jpg
Containers for sale used and new,Saddar Town,4  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/qebmh9uplfqi3-PK/image;s=261x203;pk_;slot=1;filename=qebmh9uplfqi3-PK_.jpg
Containers Available,Saddar Town,4  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/x23nlj2qugpg3-PK/image;s=261x203;pk_;slot=1;filename=x23nlj2qugpg3-PK_.jpg
Containers for sale used and new,Saddar Town,4  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/z9b9pohlvu7e1-PK/image;s=261x203;pk_;slot=2;filename=z9b9pohlvu7e1-PK_.jpg
APNA ESTATE - Factory For SALE 1000 Sq.Yd in Korangi Industrial Area,Korangi,4  Aug,"Rs 18,00,00,000",https://apollo-singapore.akamaized.net/v1/files/r12k9cgcmlm83-PK/image;s=261x203;pk_;slot=1;filename=r12k9cgcmlm83-PK_.jpg
"We Provide Office Container. Home, Store, Porta cabin etc",Saddar Town,4  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/qdcje639bn3n2-PK/image;s=261x203;pk_;slot=2;filename=qdcje639bn3n2-PK_.jpg
Dry Containers selling,Saddar Town,4  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/8rcpuc7tsmln-PK/image;s=261x203;pk_;slot=1;filename=8rcpuc7tsmln-PK_.jpg
Main hawksbay road 1162sq,Hawks Bay Scheme 42,4  Aug,"Rs 2,50,00,000",https://apollo-singapore.akamaized.net/v1/files/1bpky63vymtg1-PK/image;s=261x203;pk_;slot=1;filename=1bpky63vymtg1-PK_.jpg
container sales,Saddar Town,4  Aug,"Rs 1,40,000",https://apollo-singapore.akamaized.net/v1/files/ibl7hj587rej2-PK/image;s=261x203;pk_;slot=1;filename=ibl7hj587rej2-PK_.jpg
RCC Shed 700 Sq Yds for Sale Korangi Sector 21 KIA,Korangi,4  Aug,"Rs 3,50,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
"Gulistan-e-Jauhar, City Centre Shoppig Mall, Shop Available For Sale,",Gulistan-e-Jauhar,4  Aug,"Rs 8,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Complete Ground of 4000 sq.fts on Booking in SAADI TOWN Blk 6 Sch 33!!,Gulistan-e-Jauhar,4  Aug,"Rs 4,80,00,000",https://apollo-singapore.akamaized.net/v1/files/m7koc2jmqwjr-PK/image;s=261x203;pk_;slot=1;filename=m7koc2jmqwjr-PK_.jpg
Looking Shop In Techno City On Ground Floor Size 100sqt Or Above,I.I. Chundrigar Road,4  Aug,"Rs 50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
590 sq ft office for $ale in Defence Karachi,DHA Defence,4  Aug,"Rs 82,60,000",https://apollo-singapore.akamaized.net/v1/files/hyggtyfcysqk-PK/image;s=261x203;pk_;slot=1;filename=hyggtyfcysqk-PK_.jpg
Porta Cabins For Sale,Super Highway,4  Aug,"Rs 7,05,000",https://apollo-singapore.akamaized.net/v1/files/zsa9xajoka601-PK/image;s=261x203;pk_;slot=1;filename=zsa9xajoka601-PK_.jpg
I sell my business...,Shah Town,4  Aug,"Rs 8,00,00,000",https://apollo-singapore.akamaized.net/v1/files/q0m1dqa08s0h-PK/image;s=261x203;pk_;slot=1;filename=q0m1dqa08s0h-PK_.jpg
Shop For sell in Badar commercial,,4  Aug,"Rs 4,16,50,000",https://apollo-singapore.akamaized.net/v1/files/9dj2ts5sk2221-PK/image;s=261x203;pk_;slot=1;filename=9dj2ts5sk2221-PK_.jpg
Porta Cabins for sale,Super Highway,4  Aug,"Rs 9,95,000",https://apollo-singapore.akamaized.net/v1/files/1kvy119bodpz1-PK/image;s=261x203;pk_;slot=1;filename=1kvy119bodpz1-PK_.jpg
Commercial Plaza for Sale,Tariq Road,4  Aug,"Rs 1,80,00,000",https://apollo-singapore.akamaized.net/v1/files/hxr9nri84fta3-PK/image;s=261x203;pk_;slot=2;filename=hxr9nri84fta3-PK_.jpg
Plaza for sale at main tariq road,Tariq Road,4  Aug,"Rs 1,80,00,000",https://apollo-singapore.akamaized.net/v1/files/uyvw5x0v0w8z2-PK/image;s=261x203;pk_;slot=1;filename=uyvw5x0v0w8z2-PK_.jpg
Shop for available,DHA,4  Aug,"Rs 1,20,00,000",https://apollo-singapore.akamaized.net/v1/files/siaepp7eayy12-PK/image;s=261x203;pk_;slot=1;filename=siaepp7eayy12-PK_.jpg
100 sq yd Commercial building for Sale in DHA Karachi,DHA Defence,4  Aug,"Rs 12,50,00,000",https://apollo-singapore.akamaized.net/v1/files/e5r4y8j2zl5l2-PK/image;s=261x203;pk_;slot=1;filename=e5r4y8j2zl5l2-PK_.jpg
Shah Faisal colony no 3 big plots 3 side corner,Al Falah Society,4  Aug,"Rs 5,50,00,000",https://apollo-singapore.akamaized.net/v1/files/j0by86x0pcfb-PK/image;s=261x203;pk_;slot=1;filename=j0by86x0pcfb-PK_.jpg
Ground Showroom On Installments Midway Commercial Bahria Town Karachi,Bahria Town Karachi,4  Aug,"Rs 3,42,00,000",https://apollo-singapore.akamaized.net/v1/files/ih40lfapbjqq3-PK/image;s=261x203;pk_;slot=1;filename=ih40lfapbjqq3-PK_.jpg
40 Square Feet Shop for Sale,Shahra-e-Faisal,4  Aug,"Rs 75,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Fully hardware shop DHA market for sale,DHA Defence,4  Aug,"Rs 74,00,000",https://apollo-singapore.akamaized.net/v1/files/thhlm61frq063-PK/image;s=261x203;pk_;slot=1;filename=thhlm61frq063-PK_.jpg
Two shop for sale defence view iqra university,Defence View Society,4  Aug,"Rs 11,25,000",https://apollo-singapore.akamaized.net/v1/files/1qkemw80ru0e3-PK/image;s=261x203;pk_;slot=2;filename=1qkemw80ru0e3-PK_.jpg
Main jodia Bazar,Bolton Market,4  Aug,"Rs 16,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for Sale low budget best deal.,DHA Defence,4  Aug,"Rs 46,00,000",https://apollo-singapore.akamaized.net/v1/files/0b7q5sv2tkc-PK/image;s=261x203;pk_;slot=1;filename=0b7q5sv2tkc-PK_.jpg
Saima Arabian villas shop,North Karachi,4  Aug,"Rs 30,00,000",https://apollo-singapore.akamaized.net/v1/files/0d4jhugj9074-PK/image;s=261x203;pk_;slot=1;filename=0d4jhugj9074-PK_.jpg
Shope Godown near Haydri market,Naya Nazimabad,3  Aug,"Rs 13,00,000",https://apollo-singapore.akamaized.net/v1/files/8lr9emk65jn31-PK/image;s=261x203;pk_;slot=1;filename=8lr9emk65jn31-PK_.jpg
Shop in Bahadurabad,Bhadarabad,3  Aug,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/v3unide9sgho2-PK/image;s=261x203;pk_;slot=1;filename=v3unide9sgho2-PK_.jpg
Shop at Lacasa One mall near lucky one fb area,Royal Tower,3  Aug,"Rs 42,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop at Lacasa one Mall near lucky one FB are,Royal Tower,3  Aug,"Rs 42,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop at Sehar Commercial,DHA Defence,3  Aug,"Rs 90,90,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
74 Square Feet Shop at dolmen mall,Tariq Road,3  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/9srw43caxhys-PK/image;s=261x203;pk_;slot=1;filename=9srw43caxhys-PK_.jpg
shop pnt colony,Gizri Road,3  Aug,"Rs 9,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Throw Away Comm Plot Dha Karachi,DHA Defence,3  Aug,"Rs 2,95,00,000",https://apollo-singapore.akamaized.net/v1/files/x3u1zccv07yq2-PK/image;s=261x203;pk_;slot=1;filename=x3u1zccv07yq2-PK_.jpg
DHA Karachi Shop Near Careem Office For Restaurant,Bhadarabad,3  Aug,"Rs 2,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Besmant floor easy instalment in Bahria Town karachi MidwayComercialA,Bahria Town Karachi,3  Aug,"Rs 88,00,000",https://apollo-singapore.akamaized.net/v1/files/w8tjx02255l7-PK/image;s=261x203;pk_;slot=1;filename=w8tjx02255l7-PK_.jpg
"Shop for sale ""ideal location"" 12*24 main road",North Karachi,3  Aug,"Rs 24,00,000",https://apollo-singapore.akamaized.net/v1/files/qo2819tr5mxx2-PK/image;s=261x203;pk_;slot=1;filename=qo2819tr5mxx2-PK_.jpg
Commercial building ground plus 2 128 yards 3 side corner sector 5A1NK,North Karachi,3  Aug,"Rs 2,50,00,000",https://apollo-singapore.akamaized.net/v1/files/7xue8lff0hvt-PK/image;s=261x203;pk_;slot=1;filename=7xue8lff0hvt-PK_.jpg
shops available for sale in running mobile markets of karachi,North Nazimabad,3  Aug,"Rs 82,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale badar com.phase v Dha karachi,Sea View Apartments,3  Aug,"Rs 50,00,000",https://apollo-singapore.akamaized.net/v1/files/w1b7pjhpnhdi2-PK/image;s=261x203;pk_;slot=1;filename=w1b7pjhpnhdi2-PK_.jpg
Office Available For Sale Midway Commercial Bahria Town Karachi,Super Highway,3  Aug,"Rs 92,00,000",https://apollo-singapore.akamaized.net/v1/files/wjhwz3di1m3d1-PK/image;s=261x203;pk_;slot=1;filename=wjhwz3di1m3d1-PK_.jpg
Porta Cabin For Sale,Super Highway,3  Aug,"Rs 4,85,000",https://apollo-singapore.akamaized.net/v1/files/x3m0yfx0i06x1-PK/image;s=261x203;pk_;slot=1;filename=x3m0yfx0i06x1-PK_.jpg
Chance Deal : 400 Sqft Office In Shaheed e Millat At Low Price,Shaheed Millat Road,3  Aug,"Rs 27,50,000",https://apollo-singapore.akamaized.net/v1/files/0cldw9ca0v6t1-PK/image;s=261x203;pk_;slot=1;filename=0cldw9ca0v6t1-PK_.jpg
Gulistane jauhar blk 13 corner main road shop in shangrilla tower,Rabia City,3  Aug,"Rs 1,60,00,000",https://apollo-singapore.akamaized.net/v1/files/8hlyntkfbz3j-PK/image;s=261x203;pk_;slot=1;filename=8hlyntkfbz3j-PK_.jpg
porta camps for sell,,3  Aug,"Rs 3,25,000",https://apollo-singapore.akamaized.net/v1/files/czll19xb96m81-PK/image;s=261x203;pk_;slot=1;filename=czll19xb96m81-PK_.jpg
Brand New Office Space For Sale,,3  Aug,"Rs 1,98,00,000",https://apollo-singapore.akamaized.net/v1/files/luy3x0oroh53-PK/image;s=261x203;pk_;slot=1;filename=luy3x0oroh53-PK_.jpg
Best Residential and commercial place available,Old Golimar,3  Aug,"Rs 55,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Commercial house available in just 20% payment (AGi services),DHA Defence,3  Aug,"Rs 20,00,000",https://apollo-singapore.akamaized.net/v1/files/qptj6752b7bf1-PK/image;s=261x203;pk_;slot=1;filename=qptj6752b7bf1-PK_.jpg
Porta Cabin Container,Saddar Town,3  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/leq6eqxs8tku3-PK/image;s=261x203;pk_;slot=2;filename=leq6eqxs8tku3-PK_.jpg
Containers Available,Saddar Town,3  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/ewqi0g1l6u493-PK/image;s=261x203;pk_;slot=1;filename=ewqi0g1l6u493-PK_.jpg
"Shop for sale in P.E.C.H.S. Block6. E,Markit.",Chanesar Goth,3  Aug,"Rs 2,25,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
"PEZ"" Office in Main Gulshane Iqbal.",Gulshan-E-Iqbal 1,3  Aug,"Rs 1,50,00,000",https://apollo-singapore.akamaized.net/v1/files/raf5muumdlr13-PK/image;s=261x203;pk_;slot=1;filename=raf5muumdlr13-PK_.jpg
Shop at Gulistan-e-Jauhar for sale,Gulistan-e-Jauhar,3  Aug,"Rs 8,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop in front of burhan arcade hydri market opposite main road,Haidery,3  Aug,"Rs 55,00,000",https://apollo-singapore.akamaized.net/v1/files/e6vpy4cn51wn-PK/image;s=261x203;pk_;slot=1;filename=e6vpy4cn51wn-PK_.jpg
Petrol Pump Station,Shahra-e-Faisal,3  Aug,"Rs 12,50,654",https://apollo-singapore.akamaized.net/v1/files/o4eomtr2pd1d2-PK/image;s=261x203;pk_;slot=1;filename=o4eomtr2pd1d2-PK_.jpg
New shops arrival in markets,Abul Hassan Isphani Road,3  Aug,"Rs 10,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale,Rashid Minhas Road,3  Aug,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/mgyqyefh51wt3-PK/image;s=261x203;pk_;slot=1;filename=mgyqyefh51wt3-PK_.jpg
Shop for sale,Rashid Minhas Road,3  Aug,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/fb538wylsdw3-PK/image;s=261x203;pk_;slot=1;filename=fb538wylsdw3-PK_.jpg
shop for sale in gulshan e iqbal,Gulshan-E-Iqbal 1,2  Aug,"Rs 11,30,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop at Gulistan-e-Jauhar,Gulistan-e-Jauhar,2  Aug,"Rs 8,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop in main market main jamia milia Road size 12v45,Al Falah Society,2  Aug,"Rs 35,00,000",https://apollo-singapore.akamaized.net/v1/files/k5xhexyp2mpm3-PK/image;s=261x203;pk_;slot=1;filename=k5xhexyp2mpm3-PK_.jpg
Well maintained commercial space front and back entrance,Al Falah Society,2  Aug,"Rs 2,50,00,000",https://apollo-singapore.akamaized.net/v1/files/3fs5fi1u06da-PK/image;s=261x203;pk_;slot=1;filename=3fs5fi1u06da-PK_.jpg
Haji Dhani Baksh,Gulshan-e-Maymar,2  Aug,"Rs 7,00,00,000",https://apollo-singapore.akamaized.net/v1/files/417l2ofrx79x-PK/image;s=261x203;pk_;slot=1;filename=417l2ofrx79x-PK_.jpg
Al Fakhar Law Constants Deal In Property,Gulistan-e-Jauhar,2  Aug,"Rs 4,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Commercial Shop For Sale,DHA Defence,2  Aug,"Rs 2,90,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Dukaan Hay hotel ya godaam Kay laiy best,Gizri Road,2  Aug,"Rs 2,00,00,000",https://apollo-singapore.akamaized.net/v1/files/cssui3igat9j-PK/image;s=261x203;pk_;slot=1;filename=cssui3igat9j-PK_.jpg
Samama shopping centre,North Karachi,2  Aug,"Rs 10,00,000",https://apollo-singapore.akamaized.net/v1/files/0regweg3a31e-PK/image;s=261x203;pk_;slot=1;filename=0regweg3a31e-PK_.jpg
Shop for sale urgent,Abul Hassan Isphani Road,2  Aug,"Rs 85,00,000",https://apollo-singapore.akamaized.net/v1/files/usu52etup3fv-PK/image;s=261x203;pk_;slot=1;filename=usu52etup3fv-PK_.jpg
Shop in badar commercial,DHA Defence,2  Aug,"Rs 15,00,000",https://apollo-singapore.akamaized.net/v1/files/scjqa8rigt602-PK/image;s=261x203;pk_;slot=1;filename=scjqa8rigt602-PK_.jpg
Habib crown shop size10×12 block 14 juhar.,Gulistan-e-Jauhar,2  Aug,"Rs 25,00,000",https://apollo-singapore.akamaized.net/v1/files/p5tsse5s9rhy-PK/image;s=261x203;pk_;slot=1;filename=p5tsse5s9rhy-PK_.jpg
Act now For Better Investment In Bahria Karachi,Bahria Town Karachi,2  Aug,"Rs 28,00,000",https://apollo-singapore.akamaized.net/v1/files/xd4mkmajl3i72-PK/image;s=261x203;pk_;slot=1;filename=xd4mkmajl3i72-PK_.jpg
Shop size 10× 55 block 14 hashim residency near bin hashim.juhar.,Gulistan-e-Jauhar,2  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/icwgh7bfmwrf-PK/image;s=261x203;pk_;slot=1;filename=icwgh7bfmwrf-PK_.jpg
Shop size 10×40 main perfume chowk good for resturant juhar.,Gulistan-e-Jauhar,2  Aug,"Rs 2,25,00,000",https://apollo-singapore.akamaized.net/v1/files/nks8m10ex1f43-PK/image;s=261x203;pk_;slot=1;filename=nks8m10ex1f43-PK_.jpg
Shop for sale,University Road,2  Aug,"Rs 10,00,000",https://apollo-singapore.akamaized.net/v1/files/eu66gsla1yba3-PK/image;s=261x203;pk_;slot=1;filename=eu66gsla1yba3-PK_.jpg
Mezzanine For Sale Defence Phase Vii Sehar Commercial,DHA Defence,2  Aug,"Rs 1,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Midway Commercial Plot Bahria Town Karachi Prime Location,Bahria Town Karachi,2  Aug,"Rs 5,20,00,000",https://apollo-singapore.akamaized.net/v1/files/ct82iadkwipg2-PK/image;s=261x203;pk_;slot=5;filename=ct82iadkwipg2-PK_.jpg
Shop size 10×30 double chatti main road qassim paradise.,Gulistan-e-Jauhar,2  Aug,"Rs 1,50,00,000",https://apollo-singapore.akamaized.net/v1/files/yk3emmrhrtp6-PK/image;s=261x203;pk_;slot=1;filename=yk3emmrhrtp6-PK_.jpg
Petrol pump for sale at Main Shahra e Faisal,Shahra-e-Faisal,2  Aug,"Rs 60,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop prime and good location market,Hasrat Mohani Colony,2  Aug,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/qsz7dollnxpu3-PK/image;s=261x203;pk_;slot=1;filename=qsz7dollnxpu3-PK_.jpg
"6000 Yards,Bahria Farm House",Bahria Town Karachi,2  Aug,"Rs 4,78,33,500",https://apollo-singapore.akamaized.net/v1/files/nepp93fxyn202-PK/image;s=261x203;pk_;slot=1;filename=nepp93fxyn202-PK_.jpg
Showroom / shop,Malir,2  Aug,"Rs 90,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Dry Containers selling,Saddar Town,2  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/65ctj4vwv0801-PK/image;s=261x203;pk_;slot=2;filename=65ctj4vwv0801-PK_.jpg
Shop For Sale,DHA,2  Aug,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/h7onu9r8dfq93-PK/image;s=261x203;pk_;slot=1;filename=h7onu9r8dfq93-PK_.jpg
Factory ground plus 2,North Karachi,2  Aug,"Rs 3,50,00,000",https://apollo-singapore.akamaized.net/v1/files/rry1xrrw7aw43-PK/image;s=261x203;pk_;slot=1;filename=rry1xrrw7aw43-PK_.jpg
Shop for sale in hardware market,Gulberg Town,2  Aug,"Rs 43,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop on Main Double Road,Shahra-e-Faisal,2  Aug,"Rs 30,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Quality Special Equipment Containers,Saddar Town,2  Aug,"Rs 1,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Dha Phase 6 bukhari commercial Karachi,,2  Aug,"Rs 1,75,00,000",https://apollo-singapore.akamaized.net/v1/files/jd0wdl1tjhei1-PK/image;s=261x203;pk_;slot=1;filename=jd0wdl1tjhei1-PK_.jpg
Ground on booking at Bukhari commercial phase VI DHA karachi,DHA Defence,2  Aug,"Rs 14,40,00,000",https://apollo-singapore.akamaized.net/v1/files/mozaorkvgrcd1-PK/image;s=261x203;pk_;slot=1;filename=mozaorkvgrcd1-PK_.jpg
Shop in DHA phase 2 extension,DHA,2  Aug,"Rs 85,00,000",https://apollo-singapore.akamaized.net/v1/files/bu6epxmpbuoo1-PK/image;s=261x203;pk_;slot=1;filename=bu6epxmpbuoo1-PK_.jpg
Shop for sale dha phase 7,,2  Aug,"Rs 1,56,00,000",https://apollo-singapore.akamaized.net/v1/files/f68x1r1a8qwe1-PK/image;s=261x203;pk_;slot=1;filename=f68x1r1a8qwe1-PK_.jpg
Third Floor Roof available for Sale,Federal B Area,2  Aug,"Rs 20,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Dha phase 6 bukhari commarcail shope for salee,,2  Aug,"Rs 2,00,00,000",https://apollo-singapore.akamaized.net/v1/files/x552yv1hbcw11-PK/image;s=261x203;pk_;slot=1;filename=x552yv1hbcw11-PK_.jpg
Shops Main Malir Jamia Milia,Rifah Aam,2  Aug,"Rs 15,00,000",https://apollo-singapore.akamaized.net/v1/files/d77vmx5rcmu83-PK/image;s=261x203;pk_;slot=2;filename=d77vmx5rcmu83-PK_.jpg
shop for sale scarp yard market,S.I.T.E,2  Aug,"Rs 6,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Fresh shops booking available in defence phase 2 defence,DHA Defence,2  Aug,"Rs 29,37,500",https://apollo-singapore.akamaized.net/v1/files/z3ftjusrj5k-PK/image;s=261x203;pk_;slot=1;filename=z3ftjusrj5k-PK_.jpg
Porta Living Container for Sale,Super Highway,2  Aug,"Rs 7,25,000",https://apollo-singapore.akamaized.net/v1/files/el9uiznajial2-PK/image;s=261x203;pk_;slot=1;filename=el9uiznajial2-PK_.jpg
Clothes Shop,Korangi,2  Aug,"Rs 15,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Porta Office Container For Sales,Super Highway,2  Aug,"Rs 8,55,000",https://apollo-singapore.akamaized.net/v1/files/c7txttyope962-PK/image;s=261x203;pk_;slot=1;filename=c7txttyope962-PK_.jpg
Shop Sindbaad k samne,Gulshan-E-Iqbal 1,2  Aug,"Rs 20,00,000",https://apollo-singapore.akamaized.net/v1/files/u51utevatyzb3-PK/image;s=261x203;pk_;slot=1;filename=u51utevatyzb3-PK_.jpg
"Khayaban-E-Rizwan Phase 7 ext, 2nd floor office for sell!dha",DHA Defence,2  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/e9akcrzh5mxn1-PK/image;s=261x203;pk_;slot=1;filename=e9akcrzh5mxn1-PK_.jpg
The Sewing Studio,Sea View Apartments,2  Aug,"Rs 6,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Corner Building for sale at PECHS Block 2 commercial Market,Pechs II,2  Aug,"Rs 4,40,00,000",https://apollo-singapore.akamaized.net/v1/files/2c50qriv8meg1-PK/image;s=261x203;pk_;slot=1;filename=2c50qriv8meg1-PK_.jpg
Offices on instalments,Bahria Town Karachi,2  Aug,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/jixs3o9yrxo71-PK/image;s=261x203;pk_;slot=1;filename=jixs3o9yrxo71-PK_.jpg
Defence Shop For Sale,DHA Defence,2  Aug,"Rs 2,55,75,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Defence Office For Sale,DHA Defence,2  Aug,"Rs 90,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Defence Shop For Sale,DHA Defence,2  Aug,"Rs 1,08,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Office Is Available For Sale,Shahra-e-Faisal,2  Aug,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/2gpaale80cl33-PK/image;s=261x203;pk_;slot=1;filename=2gpaale80cl33-PK_.jpg
Defence Shop For Sale,DHA Defence,2  Aug,"Rs 1,57,50,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Bahria Farm House for sell,Bahria Town Karachi,2  Aug,"Rs 7,40,00,000",https://apollo-singapore.akamaized.net/v1/files/vge3nwbrk85b1-PK/image;s=261x203;pk_;slot=1;filename=vge3nwbrk85b1-PK_.jpg
Shop for sale at falaknaz,Malir,2  Aug,"Rs 3,50,000",https://apollo-singapore.akamaized.net/v1/files/rsd6vbc2ndqs1-PK/image;s=261x203;pk_;slot=1;filename=rsd6vbc2ndqs1-PK_.jpg
