title,location,time,price,img_url
Shop for Sale in Nazimabad #4 Prime Location,Nazimabad,12  Aug,"Rs 42,50,000",https://apollo-singapore.akamaized.net/v1/files/eh5oqza1ukvw2-PK/image;s=261x203;pk_;slot=1;filename=eh5oqza1ukvw2-PK_.jpg
150 square feet leased shop for sale in Nazimabad no 4 prime location,Nazimabad,12  Aug,"Rs 42,50,000",https://apollo-singapore.akamaized.net/v1/files/9qiwd4a064ne1-PK/image;s=261x203;pk_;slot=1;filename=9qiwd4a064ne1-PK_.jpg
Shop for sale main nipa road. Only serious buyers contact me,Gulistan-e-Jauhar,12  Aug,"Rs 1,10,00,000",https://apollo-singapore.akamaized.net/v1/files/bt50s9xp1udj1-PK/image;s=261x203;pk_;slot=1;filename=bt50s9xp1udj1-PK_.jpg
Want to give franchise,Aisha Manzil,12  Aug,"Rs 5,00,000",https://apollo-singapore.akamaized.net/v1/files/c5ark92em50j2-PK/image;s=261x203;pk_;slot=1;filename=c5ark92em50j2-PK_.jpg
Selling shop in johar & exchange with car,Gulshan-e-Maymar,12  Aug,"Rs 3,10,000",https://apollo-singapore.akamaized.net/v1/files/ez199jfr758v1-PK/image;s=261x203;pk_;slot=1;filename=ez199jfr758v1-PK_.jpg
Shop for sale 130 sqfeet with mezzanine 20fit road 20.000 rent 20.thou,DHA Defence,12  Aug,"Rs 45,00,000",https://apollo-singapore.akamaized.net/v1/files/p44risczs6we1-PK/image;s=261x203;pk_;slot=1;filename=p44risczs6we1-PK_.jpg
Office For Sale In Defence Phase 5 Karachi,DHA Defence,12  Aug,"Rs 77,00,000",https://apollo-singapore.akamaized.net/v1/files/iqvly91fyde6-PK/image;s=261x203;pk_;slot=8;filename=iqvly91fyde6-PK_.jpg
Shop for sale in Shamama shoping center.,University Road,12  Aug,"Rs 4,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
200 sq yds Full Basement at Main MA Jinnah Road Numaish(UR.G.E.N.T),M.A. Jinnah Road,12  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/rus3hnlrik4x-PK/image;s=261x203;pk_;slot=1;filename=rus3hnlrik4x-PK_.jpg
Godown Office For Sale,M.A. Jinnah Road,12  Aug,"Rs 3,00,000",https://apollo-singapore.akamaized.net/v1/files/89isvz80vca51-PK/image;s=261x203;pk_;slot=1;filename=89isvz80vca51-PK_.jpg
24 Sq Ft Shop For Sale,M.A. Jinnah Road,12  Aug,"Rs 23,50,000",https://apollo-singapore.akamaized.net/v1/files/nwe2g8b1gtm4-PK/image;s=261x203;pk_;slot=1;filename=nwe2g8b1gtm4-PK_.jpg
Shop Fb Area 10,Aisha Manzil,12  Aug,"Rs 32,00,000",https://apollo-singapore.akamaized.net/v1/files/h87t2hrrwdxp1-PK/image;s=261x203;pk_;slot=1;filename=h87t2hrrwdxp1-PK_.jpg
"Shop main 200ft road, Farhan classic apartment, Gulistan e Jauhar 12",Gulistan-e-Jauhar,12  Aug,"Rs 2,75,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shangrilla tower corner main road Park view gulistane johar 13,100 Quarters,12  Aug,"Rs 1,60,00,000",https://apollo-singapore.akamaized.net/v1/files/3scr67zj5t803-PK/image;s=261x203;pk_;slot=1;filename=3scr67zj5t803-PK_.jpg
Shop available in Ayesha Mobile mall gulishan e mayymar,Gulshan-e-Maymar,12  Aug,"Rs 3,00,000",https://apollo-singapore.akamaized.net/v1/files/opjnqy9fxmlb1-PK/image;s=261x203;pk_;slot=2;filename=opjnqy9fxmlb1-PK_.jpg
"Shop 10*38, at Main johar chorangi, block 15, Gulistan e Jauhar",Gulistan-e-Jauhar,12  Aug,"Rs 2,10,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
